slang,formal
bgs,bagus
bgt,banget
apk,aplikasi
app,aplikasi
sy,saya
gx,tidak
gak,tidak
gk,tidak
ngga,tidak
nggak,tidak
tdk,tidak
dpt,dapat
krg,kurang
kcewa,kecewa
cpt,cepat
lmbt,lambat
lola,lambat
lemot,lambat
mantul,mantap
mantab,mantap
pake,pakai
bnyk,banyak
brg,barang
ongkir,ongkos kirim
cs,customer service
min,admin
minn,admin
pdhl,padahal
gaje,tidak jelas
gampang,mudah
nyusahin,susah
update,perbarui
tp,tapi
klo,kalau
kalo,kalau
sm,sama
dg,dengan
dgn,dengan
pd,pada
jg,juga
jgn,jangan
udh,sudah
sdh,sudah
blm,belum
dr,dari
aj,saja
aja,saja
